city,aqi_value,aqi_category,pm2.5_aqi_value,meal_cheap_usd,meal_midrange_usd,rent_1br_outside_usd,rent_3br_city_usd,basic_utilities_usd,monthly_pass_usd,avg_net_salary_usd,quality_of_life_index,popcity,densitycity,congestion2019,crime_index,safety_index,aqi_score,pm25_score,air_quality_score,cost_index_raw,cost_score_absolute,monthly_living_cost,affordability_ratio,cost_score_affordability,safety_score,density_score_raw,congestion_score,urban_score,livability_score_absolute,livability_score_affordability,rank_absolute,rank_affordability,country
phoenix,72,Moderate,72,18.5,70.0,46.09,38.25,26428.57,2.4,2711.17,5.11,1445632.0,1077.541931,13.0,53.6,46.4,89.35,84.81,86.63,5312.699,78.6,27032.06,997.06,94.25,41.44,97.86542032884367,87.23,92.55,74.11,78.8,209,161, AZ
dar es salaam,51,Moderate,51,2.14,24.65,13.47,29.65,6572.37,0.28,809.6,13.1,4364541.0,3133.195262,20.0,46.6,53.4,93.74,89.57,91.24,1321.6650000000002,100.0,6650.32,821.43,95.79,51.1,98.53772787752163,72.34,85.44,82.67,81.41,25,100,United Republic of Tanzania
hangzhou,203,Very Unhealthy,151,4.27,32.03,45.76,25.45,21206.8,0.43,1026.14,5.23,8405527.14,1013.691165,20.0,46.6,53.4,62.0,66.89,64.93,4265.137,84.22,21381.09,2083.64,84.68,51.1,97.61936810280325,72.34,84.98,71.27,71.41,252,260,China
tianjin,142,Unhealthy for Sensitive Groups,142,4.27,28.47,54.89,42.66,19217.9,0.43,1085.46,5.2,15582374.43,1325.031839,21.0,46.6,53.4,74.74,68.93,71.25,3871.9220000000005,86.33,19401.320000000003,1787.38,87.29,51.1,98.6954147800535,70.21,84.45,73.38,73.66,224,237,China
fuzhou,168,Unhealthy,99,2.99,17.79,58.72,37.37,20166.93,0.14,612.13,5.18,3918485.982,2231.484044,20.0,46.6,53.4,69.31,78.68,74.93,4063.3580000000006,85.3,20315.489999999998,3318.82,73.8,51.1,99.99863281421139,72.34,86.17,74.33,70.88,203,263,China
salvador,30,Good,30,4.79,24.91,35.44,50.29,28751.07,0.89,609.9,11.54,2676606.0,3786.935484,30.0,76.6,23.4,98.12,94.33,95.85,5768.981,76.16,28931.1,4743.58,61.26,9.67,95.81818742959418,51.06,73.44,63.92,59.45,301,310, Brazil
richmond,76,Moderate,76,25.0,57.5,42.78,39.64,21543.75,1.88,2088.89,5.43,204214.0,1315.768898,9.0,46.6,53.4,88.52,83.9,85.75,4335.328,83.84,22338.41,1069.39,93.61,51.1,98.66793154561462,95.74,97.2,78.8,81.74,92,93,United States of America
lublin,32,Good,28,6.31,27.04,54.09,29.3,21410.62,0.9,598.42,7.67,357110.0,2421.905731,26.0,46.6,53.4,97.7,94.78,95.95,4310.521,83.98,21654.91,3618.68,71.16,51.1,99.9185377108803,59.57,79.74,77.9,74.06,119,232,Poland
hamburg,34,Good,34,14.75,63.22,92.23,44.37,36598.08,3.44,2101.64,1.98,1787408.0,2366.487488,29.0,42.6,57.4,97.29,93.42,94.97,7369.025000000001,67.58,37136.25000000001,1767.01,87.47,56.63,99.95457575620925,53.19,76.57,73.49,79.46,221,148, Germany
marseille,59,Moderate,59,13.17,63.22,70.95,25.26,18956.88,2.0,1404.99,1.73,874619.0,3635.157938,30.0,64.7,35.3,92.07,87.76,89.48,3829.685,86.55,19424.93,1382.57,90.85,26.1,96.56802245818405,51.06,73.81,69.62,70.91,269,262, France
moscow,30,Good,30,12.8,64.0,104.54,61.4,37946.86,0.82,2194.87,10.31,14150000.0,5635.205098,54.0,36.8,63.2,98.12,94.33,95.85,7644.284000000001,66.1,38436.22,1751.18,87.61,64.64,81.82425191949321,0.0,40.91,68.13,74.59,282,223, Russia
murcia,29,Good,20,12.64,52.69,77.27,30.86,20548.03,1.48,1527.93,2.35,437667.0,494.036573,16.0,46.6,53.4,98.33,96.6,97.29,4150.9169999999995,84.83,21005.98,1374.8,90.92,51.1,95.14712298655503,80.85,88.0,80.15,81.97,57,84,Spain
gdansk,33,Good,33,6.76,33.81,68.69,28.98,21879.93,1.04,1001.75,6.3,756719.0,1827.382275,29.0,30.5,69.5,97.49,93.65,95.19,4411.787,83.43,22152.460000000003,2211.38,83.55,73.34,99.75982274243593,53.19,76.47,82.46,82.49,27,72, Poland
fortaleza,25,Good,25,4.98,22.99,41.45,44.07,24542.41,0.75,426.73,9.75,2447409.0,7815.702242,31.0,77.3,22.7,99.16,95.46,96.94,4930.277999999999,80.65,24734.01,5796.17,51.99,8.7,58.481605160706465,48.94,53.71,61.35,52.75,314,326, Brazil
new haven,57,Moderate,57,15.0,80.0,46.83,36.16,20000.0,1.25,4000.0,4.59,129779.0,2680.992452,12.0,46.6,53.4,92.48,88.21,89.92,4026.54,85.5,20498.08,512.45,98.51,51.1,99.6119031281323,89.36,94.49,79.8,83.71,64,46,United States of America
kiel,42,Good,26,11.38,52.69,79.03,38.64,29504.87,2.74,1593.79,2.23,246306.0,2075.903919,23.0,46.6,53.4,95.62,95.24,95.39,5943.039000000001,75.22,29928.04,1877.79,86.49,51.1,99.97242953007111,65.96,82.97,75.78,79.16,176,153,Germany
liege,56,Moderate,56,15.81,57.96,102.74,44.78,26828.35,2.63,916.76,1.82,195931.0,3090.881843,16.0,60.4,39.6,92.69,88.44,90.14,5420.465,78.03,27408.02,2989.66,76.7,32.04,98.66688567065577,80.85,89.76,71.91,71.51,241,258, Belgium
los angeles,116,Unhealthy for Sensitive Groups,116,20.0,88.59,59.39,40.75,22886.54,1.75,4630.53,5.18,3792621.0,3118.986757,27.0,52.2,47.8,80.17,74.83,76.97,4611.178,82.36,23547.68,508.53,98.55,43.37,98.5817495679464,57.45,78.02,70.4,75.25,258,214, CA
shenzhen,154,Unhealthy,154,4.27,28.47,66.16,33.9,20317.59,0.57,1682.3,4.99,12777460.91,6398.327947,23.0,28.9,71.1,72.23,66.21,68.62,4097.509,85.12,20512.42,1219.31,92.29,75.55,74.1025720570284,65.96,70.03,75.58,77.74,182,184, China
sacramento,36,Good,36,18.0,63.5,39.55,29.43,23461.43,2.75,3100.0,5.0,466488.0,1826.499659,18.0,49.4,50.6,96.87,92.97,94.53,4715.936,81.8,24043.73,775.6,96.2,47.24,99.75869450850011,76.6,88.18,77.62,81.94,125,85, CA
seoul,421,Hazardous,415,7.68,53.78,58.26,46.36,27840.35,1.0,2669.12,3.47,9904312.0,16359.94714,20.0,24.7,75.3,16.49,7.03,10.81,5598.836,77.07,28130.01,1053.91,93.75,81.35,3.293999771075668,72.34,37.82,53.72,58.73,328,312, South Korea
brescia,59,Moderate,59,15.28,63.22,62.96,31.4,21777.4,1.48,1756.24,1.3,187567.0,2068.449493,11.0,46.6,53.4,92.07,87.76,89.48,4390.164000000001,83.55,22300.24,1269.77,91.85,51.1,99.96910511670238,91.49,95.73,79.36,81.85,75,89,Italy
dubai,152,Unhealthy,152,12.25,81.68,64.43,54.4,20992.61,1.57,3272.26,3.96,1616430.0,46183.71429,19.0,16.4,83.6,72.65,66.67,69.06,4233.344,84.39,21426.11,654.78,97.26,92.82,4.942146206581599e-13,74.47,37.24,73.24,77.1,229,194, United Arab Emirates
basel,60,Moderate,60,26.71,128.21,121.35,51.05,42203.79,3.85,2874.13,1.58,173863.0,7271.560017,22.0,21.6,78.4,91.86,87.53,89.26,8507.16,61.48,43130.29,1500.64,89.81,85.64,64.56613434876088,68.09,66.33,75.44,83.93,183,44, Switzerland
belo horizonte,41,Good,41,4.22,28.74,54.79,40.76,23407.86,0.86,558.01,10.77,2375444.0,7177.652213,28.0,63.7,36.3,95.82,91.84,93.43,4709.897,81.83,23590.11,4227.54,65.8,27.49,65.61151223933233,55.32,60.47,66.87,62.06,290,298, Brazil
christchurch,37,Good,37,14.11,64.14,75.73,42.68,21045.13,1.8,1594.34,3.79,341469.0,212.0925466,21.0,44.3,55.7,96.66,92.74,94.31,4249.893000000001,84.3,21545.96,1351.4,91.13,54.28,93.47162845352547,70.21,81.84,78.81,80.85,91,117, New Zealand
riyadh,196,Unhealthy,196,6.65,53.21,45.85,61.56,20843.94,1.06,1005.01,4.0,5188286.0,2712.12023,22.0,26.8,73.2,63.47,56.69,59.4,4193.148999999999,84.61,21090.35,2098.52,84.55,78.45,99.55980821390877,68.09,83.82,76.61,76.59,158,201, Saudi Arabia
antalya,41,Good,26,4.56,18.78,43.07,28.71,26888.13,0.43,851.1,20.0,1079134.0,514.1181515,26.0,27.1,72.9,95.82,95.24,95.47,5400.116,78.13,27068.43,3180.41,75.02,78.04,95.2577605794389,59.57,77.41,82.3,81.37,28,101, Turkey
portland,48,Good,36,16.75,75.0,67.04,46.59,26111.11,2.5,3242.64,5.14,583776.0,1689.003362,16.0,54.6,45.4,94.36,92.97,93.53,5259.342000000001,78.89,26683.15,822.88,95.78,40.06,99.55082893811019,80.85,90.2,75.1,80.17,191,131, OR
stockholm,31,Good,8,12.59,77.47,86.95,39.81,26837.42,3.78,2301.49,2.51,847073.0,4511.947374,23.0,46.1,53.9,97.91,99.32,98.76,5413.8550000000005,78.06,27305.85,1186.44,92.58,51.8,91.32192991501283,65.96,78.64,76.79,81.14,152,107, Sweden
philadelphia,61,Moderate,61,19.0,67.5,45.36,36.91,24642.86,2.5,3087.5,5.0,1526006.0,4385.306151,17.0,64.9,35.1,91.65,87.3,89.04,4955.302,80.52,25260.72,818.16,95.82,25.83,92.21073906128309,78.72,85.47,69.97,74.56,263,224, PA
porto,28,Good,21,9.48,42.15,83.37,30.03,29863.14,1.58,1420.98,2.28,237584.0,5722.157996,24.0,35.2,64.8,98.54,96.37,97.24,6016.367000000001,74.83,30232.49,2127.58,84.29,66.85,80.98633880902099,63.83,72.41,77.95,80.79,117,119, Portugal
poznan,36,Good,36,6.76,33.81,72.68,33.5,21766.71,1.13,806.05,4.42,578886.0,2210.754249,31.0,28.2,71.8,96.87,92.97,94.53,4391.147,83.54,22043.32,2734.73,78.95,76.52,99.99990152596668,48.94,74.47,82.72,81.34,24,103, Poland
san jose,45,Good,45,19.0,80.0,44.5,39.38,22571.43,2.5,4283.33,5.22,945942.0,2048.860691,19.0,55.7,44.3,94.99,90.93,92.55,4540.586,82.74,23188.43,541.36,98.26,38.54,99.95946792915191,74.47,87.21,75.04,79.69,192,143, Costa Rica
hanoi,181,Unhealthy,145,2.04,19.9,34.45,29.14,32899.31,0.29,865.47,9.86,3605364.0,11859.75,20.0,37.6,62.4,66.6,68.25,67.59,6597.524,71.71,32995.25,3812.41,69.46,63.54,20.43242625856412,72.34,46.39,63.57,62.9,302,292, Vietnam
innsbruck,54,Moderate,54,15.81,65.86,109.74,37.41,20856.25,2.85,1527.93,1.87,132493.0,1262.920599,17.0,46.6,53.4,93.11,88.89,90.58,4229.567,84.41,21443.14,1403.41,90.67,51.1,98.50576978317119,78.72,88.61,78.46,80.34,103,127,Austria
istanbul,59,Moderate,59,5.37,24.15,47.96,31.58,33094.13,0.43,1040.98,23.8,13854740.0,2593.063822,51.0,47.5,52.5,92.07,87.76,89.48,6643.923,71.47,33303.619999999995,3199.26,74.85,49.86,99.74142297655645,6.38,53.06,66.89,67.9,289,275, Turkey
brest,28,Good,25,7.92,25.73,53.44,31.67,21553.35,0.32,313.62,20.0,142278.0,2873.72248,21.0,46.6,53.4,98.54,95.46,96.69,4339.006,83.82,21844.71,6965.34,41.69,51.1,99.23714069182282,70.21,84.72,79.04,66.4,84,279,France
atlanta,99,Moderate,99,15.0,65.0,56.38,38.48,21902.38,2.5,3275.0,4.84,420003.0,1198.446742,17.0,63.5,36.5,83.72,78.68,80.7,4411.916,83.43,22411.260000000002,684.31,97.0,27.76,98.29563344939969,78.72,88.51,69.85,73.92,266,235, GA
bern,30,Good,28,26.71,106.85,114.32,40.96,41776.41,3.79,2493.05,2.42,134794.0,2612.286822,18.0,17.7,82.3,98.12,94.78,96.12,8418.163000000002,61.95,42695.82000000001,1712.59,87.95,91.02,99.7153356811615,76.6,88.16,83.0,90.8,22,3, Switzerland
gold coast,28,Good,21,13.59,61.16,73.62,36.7,20908.76,3.4,2429.5,3.66,332890.0,1415.0,21.0,46.2,53.8,98.54,96.37,97.24,4221.62,84.45,21393.48,880.57,95.27,51.66,98.94770482364865,70.21,84.58,79.48,82.72,74,69, Australia
greenville,58,Moderate,58,20.0,60.0,41.0,40.2,21429.17,0.0,2170.0,5.43,84554.0,892.0479643,14.0,46.6,53.4,92.28,87.98,89.7,4310.334,83.98,22070.17,1017.06,94.07,51.1,97.11499514543993,85.11,91.11,78.62,81.64,99,96,United States of America
guangzhou,184,Unhealthy,184,4.13,28.47,63.43,33.83,21381.7,0.36,1242.24,5.19,14701395.64,1977.588868,24.0,32.3,67.7,65.97,59.41,62.03,4308.917,83.98,21569.390000000003,1736.33,87.74,70.86,99.91339250761443,63.83,81.87,74.79,75.92,197,207, China
panama city,54,Moderate,54,8.0,52.5,51.43,44.55,20431.25,0.35,1784.21,5.95,880691.0,433.5816266,20.0,47.7,52.3,93.11,88.89,90.58,4113.599999999999,85.03,20723.03,1161.47,92.8,49.59,94.80696582213952,72.34,83.57,77.27,79.6,136,147, Panama
santander,44,Good,25,12.64,42.15,85.35,26.34,20372.41,1.37,1053.75,2.0,178095.0,5117.672414,16.0,46.6,53.4,95.2,95.46,95.36,4119.822,85.0,20838.329999999998,1977.54,85.61,51.1,86.53161041886239,80.85,83.69,78.85,79.04,90,156,Spain
nantes,38,Good,38,13.7,63.22,108.01,30.3,25843.1,1.79,1413.77,1.85,319284.0,4897.745053,22.0,62.9,37.1,96.45,92.52,94.09,5225.544,79.07,26363.899999999998,1864.79,86.61,28.59,88.36871259857334,68.09,78.23,70.04,72.3,262,253, France
tomsk,31,Good,25,8.0,24.0,92.0,54.67,34426.67,0.38,696.0,10.05,574002.0,1945.769492,28.0,46.6,53.4,97.91,95.46,96.44,6932.972,69.92,34759.049999999996,4994.12,59.05,51.1,99.88724874104055,55.32,77.6,73.38,70.12,224,266,Russian Federation
nashville,80,Moderate,80,16.5,70.0,51.45,35.85,25343.75,3.69,3923.08,5.13,626681.0,508.5558952,15.0,46.6,53.4,87.68,82.99,84.87,5098.143999999999,79.75,25893.89,660.04,97.22,51.1,95.22723393941979,82.98,89.1,75.74,80.98,177,111,United States of America
trondheim,29,Good,19,21.58,92.48,77.04,45.36,38284.93,4.32,1929.43,2.6,165191.0,482.6759,12.0,19.1,80.9,98.33,96.83,97.43,7700.254000000001,65.8,39013.69,2022.03,85.22,89.09,95.08401091632818,89.36,92.22,84.81,90.64,7,4, Norway
surabaya,152,Unhealthy,152,1.3,12.96,48.38,32.41,27914.38,0.32,504.54,8.69,2765487.0,7378.96099,20.0,46.6,53.4,72.65,66.67,69.06,5607.358,77.02,28002.08,5550.02,54.15,51.1,63.367616623166555,72.34,67.85,66.72,59.86,291,308,Indonesia
taichung,202,Very Unhealthy,157,3.6,26.18,64.38,29.29,24372.95,0.65,895.98,1.81,2794000.0,1261.456499,35.0,46.6,53.4,62.21,65.53,64.2,4907.565,80.78,24545.980000000003,2739.57,78.9,51.1,98.5011476873033,40.43,69.47,66.95,66.39,288,280,China
tampere,30,Good,12,13.17,84.3,92.5,43.34,27221.75,2.85,1276.54,1.19,238140.0,345.3356342,13.0,22.3,77.7,98.12,98.41,98.29,5493.519,77.63,27712.199999999997,2170.88,83.91,84.67,94.2915469624879,87.23,90.76,87.18,89.06,3,7, Finland
izmir,63,Moderate,63,3.76,18.78,28.85,26.6,28931.08,0.38,434.01,20.7,3532814.0,1126.377039,30.0,31.4,68.6,91.23,86.85,88.6,5801.431,75.98,29073.110000000004,6698.72,44.04,72.1,98.04483855939796,51.06,74.55,77.88,68.3,123,274, Turkey
bordeaux,47,Good,16,15.81,65.86,96.59,33.51,25992.38,1.79,1211.81,1.57,260352.0,5274.554295,27.0,46.8,53.2,94.57,97.51,96.33,5250.112000000001,78.94,26565.06,2192.18,83.72,50.83,85.15875209926945,57.45,71.3,74.73,76.17,200,204, France
kuala lumpur,76,Moderate,76,3.42,22.79,45.56,26.37,29522.45,0.68,999.84,3.67,1795200.0,7387.654321,28.0,63.0,37.0,88.52,83.9,85.75,5928.022000000001,75.3,29671.29,2967.6,76.89,28.45,63.2704966812464,55.32,59.3,63.0,63.48,305,290, Malaysia
austin,97,Moderate,97,17.0,72.0,56.21,38.53,24269.44,1.38,4032.69,5.59,790390.0,953.8473641,18.0,40.3,59.7,84.13,79.14,81.14,4885.531,80.89,24837.03,615.89,97.6,59.81,97.37704222887464,76.6,86.99,76.9,81.92,145,86, TX
abu dhabi,170,Unhealthy,150,8.17,54.45,51.61,42.39,21281.99,0.54,2527.12,4.08,621000.0,9221.859222,10.0,11.2,88.8,68.89,67.12,67.83,4283.8910000000005,84.12,21579.24,853.91,95.51,100.0,43.216965532606736,93.62,68.42,80.88,84.29,48,41, United Arab Emirates
beijing,123,Unhealthy for Sensitive Groups,123,4.27,31.32,67.19,43.68,22446.36,0.71,2784.82,4.94,21624536.38,1318.087064,24.0,28.4,71.6,78.71,73.24,75.43,4523.7919999999995,82.83,22642.36,813.06,95.87,76.24,98.67483590174751,63.83,81.25,79.02,82.93,87,63, China
bremen,66,Moderate,66,12.64,52.69,83.77,36.18,22128.65,3.0,1304.01,2.72,557464.0,1709.068612,19.0,44.3,55.7,90.61,86.17,87.95,4470.443,83.12,22594.620000000003,1732.7,87.77,54.28,99.5851324004076,74.47,87.03,77.9,79.29,119,150, Germany
new york,70,Moderate,70,25.0,100.0,62.13,57.42,23754.86,2.75,7146.84,5.4,8175133.0,10505.65115,26.0,49.1,50.9,89.77,85.26,87.06,4787.312,81.42,24569.74,343.78,100.0,47.65,30.91574807189546,59.57,45.24,67.15,72.73,287,249, NY
albany,41,Good,41,13.5,65.0,40.71,49.0,20861.12,1.5,2000.0,5.43,97856.0,1765.2272,10.0,46.6,53.4,95.82,91.84,93.43,4195.429,84.59,21308.329999999998,1065.42,93.65,51.1,99.67393732332836,93.62,96.65,80.84,83.56,49,50,United States of America
albuquerque,63,Moderate,63,15.0,65.0,53.3,42.5,21625.0,1.0,2340.0,5.6,545852.0,1125.404079,14.0,71.5,28.5,91.23,86.85,88.6,4354.75,83.74,22129.3,945.7,94.7,16.71,98.04133848583295,85.11,91.58,69.77,73.05,267,244, NM
tokyo,79,Moderate,79,7.45,44.67,46.26,37.63,17439.88,1.49,2526.51,1.1,13515271.0,6271.587471,41.0,24.6,75.4,87.89,83.22,85.09,3512.7450000000003,88.25,17711.13,701.01,96.85,81.49,75.4361315857512,27.66,51.55,78.43,81.01,104,109, Japan
dublin,43,Good,43,21.07,84.3,86.95,37.67,31480.34,2.11,3651.89,3.41,553165.0,4687.838983,38.0,52.1,47.9,95.41,91.38,92.99,6343.968000000001,73.07,32201.5,881.78,95.26,43.51,90.02004566654843,34.04,62.03,68.45,75.11,279,217, Ireland
samara,40,Good,25,9.6,48.0,73.45,57.14,38933.34,0.56,686.33,12.83,1163399.0,2496.564378,41.0,46.6,53.4,96.03,95.46,95.69,7825.369,65.13,39295.34999999999,5725.43,52.61,51.1,99.853492726769,27.66,63.76,68.99,65.23,278,286,Russian Federation
riverside,95,Moderate,95,17.0,70.0,53.71,29.6,23500.0,1.75,3066.67,5.52,303871.0,1444.33749,19.0,39.4,60.6,84.55,79.59,81.57,4730.43,81.72,24065.46,784.74,96.12,61.05,99.0242100696378,74.47,86.75,77.52,81.84,126,90, CA
minneapolis,52,Moderate,52,20.0,66.94,42.09,31.0,21936.88,2.5,3322.5,5.36,382578.0,2735.464988,9.0,55.3,44.7,93.53,89.34,91.02,4412.671,83.43,22581.47,679.65,97.04,39.09,99.51860149094148,95.74,97.63,77.08,81.17,143,105, MN
kaohsiung,97,Moderate,77,3.27,26.18,64.73,24.51,24547.51,0.65,865.53,2.29,2780000.0,943.3322022,32.0,46.6,53.4,84.13,83.67,83.85,4942.585999999999,80.59,24710.99,2855.01,77.89,51.1,97.33329894519022,46.81,72.07,72.33,71.52,237,257,China
san diego,56,Moderate,56,20.0,80.0,53.95,42.06,22964.95,2.5,4332.25,4.94,1307402.0,1548.98743,17.0,40.4,59.6,92.69,88.44,90.14,4624.215000000001,82.29,23621.4,545.25,98.23,59.67,99.27388602131012,78.72,89.0,79.94,84.72,60,38, CA
buenos aires,43,Good,43,6.12,25.0,68.63,44.81,23229.18,0.15,627.35,45.0,3050728.0,15028.21675,24.0,63.3,36.7,95.41,91.38,92.99,4681.39,81.99,23481.56,3742.98,70.07,28.04,6.074104189199211,63.83,34.95,61.84,58.27,310,313, Argentina
bursa,54,Moderate,54,3.22,48.3,45.01,35.52,38339.17,0.4,359.21,20.17,2052603.0,908.4927081,25.0,29.1,70.9,93.11,88.89,90.58,7691.023,65.85,38481.18,10712.73,8.69,75.28,97.1858910379105,61.7,79.44,77.11,59.96,142,307, Turkey
kolkata,195,Unhealthy,195,2.0,14.74,28.94,26.31,22528.1,0.2,388.92,8.25,4496694.0,24306.45405,20.0,46.6,53.4,63.67,56.92,59.62,4520.51,82.85,22617.239999999998,5815.4,51.82,51.1,0.02435681184313573,72.34,36.18,59.77,50.46,316,330, India
canberra,24,Good,11,15.63,74.75,58.93,34.06,18231.66,2.19,2664.05,3.05,298594.0,1433.0,15.0,23.2,76.8,99.37,98.64,98.93,3679.1420000000003,87.36,18761.68,704.25,96.83,83.43,98.99498160891332,82.98,90.99,90.0,92.84,1,1, Australia
thessaloniki,63,Moderate,63,12.64,42.15,74.99,30.77,22115.89,1.05,762.44,4.03,325182.0,16857.54277,22.0,53.5,46.5,91.23,86.85,88.6,4463.306,83.16,22571.129999999997,2960.38,76.96,41.57,2.580426941881145,68.09,35.34,64.56,62.7,296,295, Greece
oviedo,59,Moderate,59,12.64,39.52,72.01,28.32,25289.89,1.26,877.24,2.0,225005.0,1205.814577,11.0,46.6,53.4,92.07,87.76,89.48,5096.637000000001,79.76,25742.359999999997,2934.47,77.19,51.1,98.32032884743617,91.49,94.91,78.06,77.28,114,192,United States of America
palermo,61,Moderate,61,10.54,52.69,76.4,35.12,22971.65,1.58,843.0,2.18,686722.0,4322.268379,29.0,45.2,54.8,91.65,87.3,89.04,4634.796000000001,82.24,23365.83,2771.75,78.62,53.04,92.63751258219978,53.19,72.91,74.77,73.69,198,236, Italy
augsburg,64,Moderate,64,12.64,63.22,86.93,38.2,22831.15,3.37,1422.56,1.42,286374.0,1949.979572,19.0,46.6,53.4,91.02,86.62,88.38,4612.560000000001,82.36,23300.65,1637.94,88.6,51.1,99.89090521417512,74.47,87.18,77.01,78.89,144,159,Germany
delhi,500,Hazardous,446,4.91,22.11,32.12,33.44,22940.65,0.49,601.02,8.06,28514000.0,19240.21592,47.0,59.2,40.8,0.0,0.0,0.0,4605.2210000000005,82.4,23120.56,3846.89,69.15,33.7,0.7132040500731995,14.89,7.8,34.71,30.73,333,333, India
wiesbaden,30,Good,26,12.64,56.9,91.94,38.29,25289.89,3.08,1369.87,5.04,276218.0,1354.474575,26.0,46.6,53.4,98.12,95.24,96.39,5106.784,79.71,25764.11,1880.77,86.47,51.1,98.78090540617569,59.57,79.18,76.62,78.65,157,168,Germany
wuhan,175,Unhealthy,157,3.56,27.05,64.06,46.27,15787.15,0.43,896.84,4.99,10986924.28,1282.171115,16.0,46.6,53.4,67.85,65.53,66.46,3190.2150000000006,89.98,15958.44,1779.41,87.36,51.1,98.56589358389395,80.85,89.71,74.33,73.54,203,238,China
bergen,39,Good,39,19.01,87.34,82.2,35.96,37846.52,4.11,1918.01,2.62,252051.0,541.5211086,13.0,25.7,74.3,96.24,92.29,93.87,7614.617,66.26,38503.13,2007.45,85.35,79.97,95.40682799959198,87.23,91.32,81.6,87.33,38,11, Norway
mumbai,155,Unhealthy,155,3.68,18.42,32.77,27.75,22790.48,0.25,1411.12,7.96,12442373.0,20634.11774,53.0,45.0,55.0,72.03,65.99,68.41,4575.242,82.56,22933.899999999998,1625.23,88.72,53.31,0.30729914543768067,2.13,1.22,55.44,57.29,325,317, India
a coruna,27,Good,20,11.59,45.84,84.3,29.24,22918.96,1.34,1053.75,1.97,245053.0,6517.367021,15.0,46.6,53.4,98.75,96.6,97.46,4628.394,82.27,23352.3,2216.11,83.51,51.1,72.83522414989766,82.98,77.91,77.4,77.78,134,183,Spain
adana,55,Moderate,55,2.41,16.1,31.3,30.41,26191.96,0.43,232.55,14.63,1681423.0,453.4349642,27.0,46.6,53.4,92.9,88.66,90.36,5254.566999999999,78.91,26295.989999999998,11307.67,3.45,51.1,94.91984174459606,57.45,76.18,74.27,51.64,207,328,Turkey
auckland,69,Moderate,69,16.03,76.97,72.78,48.26,21678.35,2.61,2425.54,4.52,367634.0,580.7804107,29.0,48.2,51.8,89.98,85.49,87.29,4375.527,83.63,22234.64,916.69,94.95,48.9,95.61653683794061,53.19,74.4,74.02,77.41,211,191, New Zealand
odense,43,Good,14,21.26,113.4,86.81,32.43,38036.65,3.4,1701.02,1.25,188777.0,620.9769737,15.0,46.6,53.4,95.41,97.96,96.94,7655.327000000001,66.04,38764.66,2278.91,82.96,51.1,95.82651750361664,82.98,89.4,74.7,79.78,201,140,Denmark
fort myers,35,Good,22,15.0,75.0,37.17,51.0,29666.67,2.12,2525.0,5.43,216603.0,573.3644138,19.0,46.6,53.4,97.08,96.15,96.52,5955.131,75.16,30155.959999999995,1194.3,92.51,51.1,95.57727238826648,74.47,85.02,76.46,81.66,164,95,Unknown
chicago,64,Moderate,64,20.0,80.0,56.05,37.81,24878.12,2.5,3972.22,5.59,2695598.0,4570.216379,17.0,66.1,33.9,91.02,86.62,88.38,5007.898999999999,80.24,25536.67,642.88,97.37,24.17,90.89918125932485,78.72,84.81,69.17,74.31,274,228, IL
cordoba,41,Good,41,5.0,20.0,63.33,48.33,24656.05,0.65,367.56,50.0,328326.0,261.5726577,12.0,61.2,38.8,95.82,91.84,93.43,4963.94,80.47,24870.030000000002,6766.25,43.44,30.94,93.78189058219148,89.36,91.57,73.55,62.44,218,296, Argentina
bialystok,54,Moderate,54,5.63,30.43,67.61,35.68,21894.05,0.68,676.12,7.55,291383.0,2853.339209,22.0,46.6,53.4,93.11,88.89,90.58,4413.809,83.42,22131.239999999998,3273.27,74.2,51.1,99.28264861224557,68.09,83.69,77.18,74.42,140,225,Poland
brighton,28,Good,22,18.45,73.8,73.34,40.74,32053.81,3.32,2813.63,2.45,474485.0,5420.207905,28.0,37.4,62.6,98.54,96.15,97.11,6451.454000000001,72.5,32683.97,1161.63,92.8,63.81,83.8407165702289,55.32,69.58,75.9,81.99,173,83, United Kingdom
dunedin,63,Moderate,63,20.85,75.0,70.55,38.48,30466.49,1.8,1844.02,3.14,120246.0,35.98025135,19.0,46.6,53.4,91.23,86.85,88.6,6132.923000000001,74.21,31164.34,1690.02,88.15,51.1,92.31315179073947,74.47,83.39,73.87,78.05,212,178,United States of America
indianapolis,71,Moderate,71,19.0,77.5,44.44,32.06,23438.17,1.75,2537.5,5.44,829718.0,885.8444308,9.0,58.9,41.1,89.56,85.03,86.84,4713.829000000001,81.81,24054.359999999997,947.96,94.68,34.12,97.08803186443089,95.74,96.41,74.06,77.93,210,179, IN
newcastle,48,Good,48,14.27,74.75,71.36,32.28,24011.81,2.04,2086.31,3.1,282431.0,1019.0,19.0,48.1,51.9,94.36,90.25,91.89,4841.099999999999,81.13,24513.31,1174.96,92.68,49.03,97.64031915629788,74.47,86.06,76.78,80.25,154,129, Australia
reykjavik,23,Good,22,17.72,106.31,107.01,39.53,39284.2,3.47,2117.71,5.8,131136.0,478.5985401,16.0,23.8,76.2,99.58,96.15,97.52,7914.236,64.66,39926.28,1885.35,86.43,82.6,95.06126822085245,80.85,87.96,82.02,88.55,34,9, Iceland
