city,aqi_value,aqi_category,pm2.5_aqi_value,meal_cheap_usd,meal_midrange_usd,rent_1br_outside_usd,rent_3br_city_usd,basic_utilities_usd,monthly_pass_usd,avg_net_salary_usd,quality_of_life_index,popcity,densitycity,congestion2019,crime_index,safety_index,aqi_score,pm25_score,air_quality_score,cost_index_raw,cost_score_absolute,monthly_living_cost,affordability_ratio,cost_score_affordability,safety_score,density_score_raw,congestion_score,urban_score,livability_score_absolute,livability_score_affordability,rank_absolute,rank_affordability,country
sao paulo,198,Unhealthy,198,7.66,38.32,58.83,49.57,27234.36,0.84,990.82,9.4,11244369.0,7383.087873,30.0,70.5,29.5,63.05,56.24,58.96,5477.903,77.72,27523.83,2777.88,78.57,18.09,63.3215137617793,51.06,57.19,54.02,54.27,327,323, Brazil
lille,48,Good,48,14.75,52.69,95.89,35.96,26343.63,1.84,1417.29,1.48,235189.0,6752.483491,20.0,51.9,48.1,94.36,90.25,91.89,5319.805000000001,78.57,26883.86,1896.85,86.32,43.78,70.29563563787423,72.34,71.32,71.75,74.08,245,231, France
johannesburg,121,Unhealthy for Sensitive Groups,121,8.55,34.22,47.75,26.42,21046.69,1.82,756.77,9.12,3888100.0,14453.90335,21.0,80.7,19.3,79.12,73.7,75.87,4235.105,84.38,21352.76,2821.57,78.18,4.01,7.762388954795754,70.21,38.99,53.08,51.22,329,329, South Africa
tilburg,37,Good,37,12.64,79.03,56.11,26.34,30734.59,3.42,1630.57,2.06,204924.0,1719.882501,19.0,46.6,53.4,96.66,92.74,94.31,6177.843,73.96,31173.32,1911.81,86.19,51.1,99.60305826212563,74.47,87.04,75.95,79.62,170,146,Netherlands
mersin,46,Good,46,2.68,12.07,33.81,23.83,25943.31,0.38,365.6,18.25,921784.0,303.4180382,23.0,46.6,53.4,94.78,90.7,92.33,5206.141,79.17,26057.9,7127.43,40.26,51.1,94.03896285167829,65.96,80.0,75.61,63.94,180,288,Unknown
hobart,48,Good,48,17.74,67.96,68.64,32.85,16638.69,2.17,1317.76,2.5,49887.0,654.6850394,20.0,32.3,67.7,94.36,90.25,91.89,3365.823,89.04,17241.699999999997,1308.41,91.51,70.86,95.99888587645734,72.34,84.17,84.23,84.97,9,36, Australia
washington,66,Moderate,66,19.5,82.5,54.7,33.42,21599.78,2.75,4600.0,5.16,601723.0,3800.768897,17.0,60.1,39.9,90.61,86.17,87.95,4351.481,83.76,22242.23,483.53,98.77,32.46,95.74640001781992,78.72,87.23,72.68,77.18,234,193, DC
copenhagen,36,Good,36,19.85,113.4,106.09,50.62,38304.11,3.4,2669.65,1.69,528208.0,6002.363636,18.0,26.5,73.5,96.87,92.97,94.53,7718.177000000001,65.71,39009.1,1461.21,90.16,78.87,78.20695865168342,76.6,77.4,78.54,85.88,100,23, Denmark
rochester,46,Good,46,20.0,70.0,47.38,29.17,23550.67,1.0,1650.0,5.4,210565.0,2273.068299,10.0,46.6,53.4,94.78,90.7,92.33,4737.924,81.68,24199.05,1466.61,90.11,51.1,99.99167512157422,93.62,96.81,79.72,82.25,67,78,United States of America
knoxville,56,Moderate,19,14.0,55.0,44.0,37.17,20875.0,1.5,2120.0,5.27,178874.0,699.5787423,10.0,46.6,53.4,92.69,96.83,95.17,4199.95,84.57,21340.5,1006.63,94.16,51.1,96.22315164414096,93.62,94.92,80.92,83.8,47,45,United States of America
edinburgh,35,Good,32,18.45,73.8,74.68,43.33,24575.25,2.21,2229.38,2.31,482270.0,1862.046332,32.0,30.9,69.1,97.08,93.88,95.16,4956.3009999999995,80.51,25205.64,1130.61,93.07,72.79,99.80204905368753,46.81,73.31,80.8,84.57,50,40, United Kingdom
middlesbrough,45,Good,45,12.3,52.28,89.79,49.2,27060.0,3.38,876.38,3.83,376663.0,6990.775798,18.0,46.6,53.4,94.99,90.93,92.55,5459.692999999999,77.82,27522.170000000002,3140.44,75.37,51.1,67.68192873669486,76.6,72.14,73.69,72.95,217,245,United Kingdom of Great Britain and Northern Ireland
florence,43,Good,43,15.81,63.22,76.26,39.22,27252.49,1.58,1738.68,1.71,356118.0,3477.375256,17.0,38.4,61.6,95.41,91.38,92.99,5491.948000000001,77.64,27804.630000000005,1599.18,88.95,62.43,97.2728011257166,78.72,88.0,79.75,83.14,66,60, Italy
munster,53,Moderate,53,10.54,47.42,84.12,28.1,22652.01,4.9,1422.56,1.87,310039.0,1022.286336,19.0,46.6,53.4,93.32,89.12,90.8,4575.0599999999995,82.56,23057.23,1620.83,88.75,51.1,97.65324379606596,74.47,86.06,77.46,79.31,129,149,Germany
valladolid,42,Good,42,10.54,42.15,81.67,30.3,24236.14,1.58,1159.12,2.83,311682.0,1578.136709,13.0,46.6,53.4,95.62,91.61,93.21,4890.329000000001,80.87,24635.59,2125.37,84.31,51.1,99.33694485036722,87.23,93.28,78.99,80.03,88,134,Mexico
kosice,85,Moderate,85,6.32,33.19,74.64,34.77,21038.02,0.95,853.53,1.84,238725.0,983.2166392,23.0,46.6,53.4,86.64,81.86,83.77,4246.283,84.32,21303.210000000003,2495.89,81.05,51.1,97.49737821136573,65.96,81.73,75.36,74.38,185,226,Slovakia
johor bahru,107,Unhealthy for Sensitive Groups,107,2.17,21.65,60.97,35.82,27250.36,0.54,427.35,4.22,1800000.0,990.2079437,20.0,54.9,45.1,82.05,76.87,78.94,5481.045,77.7,27376.97,6406.22,46.61,39.64,97.52562368243454,72.34,84.93,69.94,60.61,265,306, Malaysia
trieste,47,Good,25,15.81,73.76,94.84,34.77,30295.18,1.42,948.37,1.52,211184.0,2499.514735,18.0,27.0,73.0,94.57,95.46,95.1,6109.76,74.33,30865.739999999998,3254.61,74.37,78.18,99.85053379064689,76.6,88.23,83.26,83.28,18,55, Italy
paris,72,Moderate,72,15.81,63.22,103.86,42.52,28681.63,2.0,3027.12,1.69,2240000.0,21252.37192,32.0,56.9,43.1,89.35,84.81,86.63,5791.618,76.04,29261.79,966.65,94.52,36.88,0.20709911284694957,46.81,23.51,58.39,63.94,323,288, France
syracuse,56,Moderate,56,13.5,55.0,35.0,31.66,22666.67,2.5,2100.0,5.24,145170.0,2236.71984,8.0,46.6,53.4,92.69,88.44,90.14,4553.784,82.67,23109.17,1100.44,93.34,51.1,99.99808085412984,97.87,98.93,79.9,83.1,62,61,Italy
bruges,42,Good,22,15.81,76.4,87.46,34.25,28451.12,3.06,1013.1,1.6,117577.0,849.5447977,12.0,46.6,53.4,95.62,96.15,95.94,5737.422,76.33,29015.94,2864.07,77.81,51.1,96.92786092547227,89.36,93.14,78.29,78.73,108,164,France
jakarta,197,Unhealthy,155,2.59,22.69,39.51,25.16,28106.01,0.23,1172.14,9.05,9607787.0,14469.55873,36.0,52.7,47.3,63.26,65.99,64.9,5641.4980000000005,76.84,28223.449999999997,2407.86,81.82,42.68,7.711815168644011,38.3,23.01,54.55,56.04,326,319, Indonesia
liverpool,46,Good,46,18.45,79.95,68.33,41.55,28838.38,3.01,1796.68,3.42,864122.0,7726.412732,23.0,47.5,52.5,94.78,90.7,92.33,5805.832,75.96,29463.22,1639.87,88.59,49.86,59.48031373057765,65.96,62.72,70.88,74.67,256,222, United Kingdom
leipzig,62,Moderate,62,9.48,52.69,65.48,44.78,22831.15,3.16,1424.66,1.87,560472.0,1882.041639,23.0,41.6,58.4,91.44,87.07,88.82,4601.182000000001,82.42,23184.190000000002,1627.35,88.7,58.01,99.82455661849906,65.96,82.89,78.01,79.9,116,136, Germany
bilbao,40,Good,18,13.17,57.96,97.55,34.25,23867.33,1.26,1422.56,2.12,351356.0,8507.409201,12.0,53.0,47.0,96.03,97.05,96.64,4825.001,81.22,24361.24,1712.49,87.95,42.27,50.822282873878365,89.36,70.09,73.11,75.13,231,215, Spain
cincinnati,46,Good,39,15.0,60.0,40.0,40.71,22731.25,2.0,2925.0,5.14,296943.0,1472.97353,12.0,48.1,51.9,94.78,92.29,93.29,4569.45,82.59,23223.25,793.96,96.04,49.03,99.09614145522357,89.36,94.23,79.2,83.24,78,57, OH
doha,164,Unhealthy,144,8.24,54.93,63.46,53.24,20038.51,0.55,3495.54,3.94,691747.0,3699.181818,20.0,14.5,85.5,70.15,68.48,69.15,4041.1349999999998,85.42,20349.719999999998,582.16,97.9,95.44,96.26021857252216,72.34,84.3,83.63,87.38,14,10, Qatar
prague,81,Moderate,81,8.65,43.26,86.55,37.72,24575.34,1.38,1677.54,5.67,1272690.0,2565.907258,23.0,24.7,75.3,87.47,82.77,84.65,4960.211,80.49,24922.77,1485.67,89.94,81.35,99.77614827767162,65.96,82.87,82.22,85.06,30,35, Czech Republic
frankfurt,39,Good,39,14.75,63.22,86.4,37.35,24847.31,2.9,2201.47,2.88,732688.0,2950.698723,20.0,44.7,55.3,96.24,92.29,93.87,5015.902,80.19,25379.110000000004,1152.83,92.88,53.73,99.05282787666123,72.34,85.7,78.1,81.9,112,87, Germany
szczecin,34,Good,34,7.32,32.68,63.43,32.2,22082.24,0.45,745.67,5.75,415399.0,1382.129429,27.0,46.6,53.4,97.29,93.42,94.97,4449.6720000000005,83.23,22365.72,2999.41,76.61,51.1,98.85861371367787,57.45,78.15,77.12,75.13,141,215,Poland
halifax,53,Moderate,53,14.82,66.7,66.02,36.41,20121.54,2.04,1919.75,4.63,390096.0,71.05211392,17.0,41.0,59.0,93.32,89.12,90.8,4060.486000000001,85.32,20634.2,1074.84,93.56,58.84,92.55050193408286,78.72,85.64,80.13,82.61,59,70, Canada
tampa,67,Moderate,67,21.0,60.0,46.13,30.5,26391.86,2.0,3480.89,5.12,335709.0,1136.844105,18.0,46.3,53.7,90.4,85.94,87.72,5305.837,78.64,27069.99,777.67,96.18,51.52,98.08230010604173,76.6,87.34,75.87,81.13,175,108, FL
oklahoma city,53,Moderate,53,11.0,50.0,42.43,24.88,19350.0,2.5,2718.33,5.27,579999.0,369.4173442,12.0,46.6,53.4,93.32,89.12,90.8,3893.665,86.21,19724.93,725.63,96.64,51.1,94.43440746338001,89.36,91.9,79.72,82.85,67,65,United States of America
